timestamp,yes_price,no_price,question,btc_price
1777939200,0.395,0.605,"Bitcoin Up or Down - May 4, 8:00PM-8:15PM ET",79824.98
1777940100,0.495,0.505,"Bitcoin Up or Down - May 4, 8:15PM-8:30PM ET",79933.0
1777941000,0.545,0.455,"Bitcoin Up or Down - May 4, 8:30PM-8:45PM ET",79898.7
1777941900,0.505,0.495,"Bitcoin Up or Down - May 4, 8:45PM-9:00PM ET",80069.48
1777942800,0.505,0.495,"Bitcoin Up or Down - May 4, 9:00PM-9:15PM ET",80115.06
1777943700,0.435,0.555,"Bitcoin Up or Down - May 4, 9:15PM-9:30PM ET",80229.61
1777944600,0.43,0.58,"Bitcoin Up or Down - May 4, 9:30PM-9:45PM ET",80248.0
1777945500,0.465,0.535,"Bitcoin Up or Down - May 4, 9:45PM-10:00PM ET",80274.52
1777946400,0.415,0.585,"Bitcoin Up or Down - May 4, 10:00PM-10:15PM ET",80309.03
1777947300,0.415,0.585,"Bitcoin Up or Down - May 4, 10:15PM-10:30PM ET",80436.99
1777948200,0.425,0.575,"Bitcoin Up or Down - May 4, 10:30PM-10:45PM ET",80472.01
1777949100,0.465,0.535,"Bitcoin Up or Down - May 4, 10:45PM-11:00PM ET",80791.41
1777950000,0.505,0.495,"Bitcoin Up or Down - May 4, 11:00PM-11:15PM ET",80529.51
1777950900,0.445,0.575,"Bitcoin Up or Down - May 4, 11:15PM-11:30PM ET",80664.01
1777951800,0.415,0.585,"Bitcoin Up or Down - May 4, 11:30PM-11:45PM ET",80781.35
1777952700,0.435,0.565,"Bitcoin Up or Down - May 4, 11:45PM-12:00AM ET",80895.5
1777953600,0.455,0.545,"Bitcoin Up or Down - May 5, 12:00AM-12:15AM ET",80843.98
1777954500,0.49,0.51,"Bitcoin Up or Down - May 5, 12:15AM-12:30AM ET",80845.86
1777955400,0.525,0.475,"Bitcoin Up or Down - May 5, 12:30AM-12:45AM ET",80786.51
1777956300,0.505,0.495,"Bitcoin Up or Down - May 5, 12:45AM-1:00AM ET",80717.99
1777957200,0.435,0.565,"Bitcoin Up or Down - May 5, 1:00AM-1:15AM ET",80833.17
1777958100,0.435,0.565,"Bitcoin Up or Down - May 5, 1:15AM-1:30AM ET",80898.33
1777959000,0.435,0.565,"Bitcoin Up or Down - May 5, 1:30AM-1:45AM ET",81036.38
1777959900,0.425,0.575,"Bitcoin Up or Down - May 5, 1:45AM-2:00AM ET",80984.87
1777960800,0.485,0.515,"Bitcoin Up or Down - May 5, 2:00AM-2:15AM ET",80993.16
1777961700,0.505,0.495,"Bitcoin Up or Down - May 5, 2:15AM-2:30AM ET",80944.5
1777962600,0.53,0.475,"Bitcoin Up or Down - May 5, 2:30AM-2:45AM ET",80802.69
1777963500,0.575,0.42,"Bitcoin Up or Down - May 5, 2:45AM-3:00AM ET",80840.0
1777964400,0.495,0.505,"Bitcoin Up or Down - May 5, 3:00AM-3:15AM ET",80938.88
1777965300,0.435,0.565,"Bitcoin Up or Down - May 5, 3:15AM-3:30AM ET",80965.5
1777966200,0.435,0.565,"Bitcoin Up or Down - May 5, 3:30AM-3:45AM ET",81028.51
1777967100,0.455,0.52,"Bitcoin Up or Down - May 5, 3:45AM-4:00AM ET",80986.5
1777968000,0.555,0.445,"Bitcoin Up or Down - May 5, 4:00AM-4:15AM ET",80869.4
1777968900,0.525,0.475,"Bitcoin Up or Down - May 5, 4:15AM-4:30AM ET",80876.75
1777969800,0.525,0.475,"Bitcoin Up or Down - May 5, 4:30AM-4:45AM ET",80861.1
1777970700,0.605,0.395,"Bitcoin Up or Down - May 5, 4:45AM-5:00AM ET",80776.77
1777971600,0.505,0.495,"Bitcoin Up or Down - May 5, 5:00AM-5:15AM ET",80749.69
1777972500,0.565,0.435,"Bitcoin Up or Down - May 5, 5:15AM-5:30AM ET",80680.0
1777973400,0.535,0.465,"Bitcoin Up or Down - May 5, 5:30AM-5:45AM ET",80697.98
1777974300,0.565,0.435,"Bitcoin Up or Down - May 5, 5:45AM-6:00AM ET",80607.27
1777975200,0.565,0.435,"Bitcoin Up or Down - May 5, 6:00AM-6:15AM ET",80560.01
1777976100,0.445,0.555,"Bitcoin Up or Down - May 5, 6:15AM-6:30AM ET",80689.78
1777977000,0.515,0.485,"Bitcoin Up or Down - May 5, 6:30AM-6:45AM ET",80759.6
1777977900,0.435,0.565,"Bitcoin Up or Down - May 5, 6:45AM-7:00AM ET",80834.33
1777978800,0.55,0.465,"Bitcoin Up or Down - May 5, 7:00AM-7:15AM ET",80813.13
1777979700,0.415,0.585,"Bitcoin Up or Down - May 5, 7:15AM-7:30AM ET",80934.08
1777980600,0.395,0.605,"Bitcoin Up or Down - May 5, 7:30AM-7:45AM ET",80957.97
1777981500,0.415,0.585,"Bitcoin Up or Down - May 5, 7:45AM-8:00AM ET",81048.44
1777982400,0.455,0.545,"Bitcoin Up or Down - May 5, 8:00AM-8:15AM ET",80994.49
1777983300,0.435,0.58,"Bitcoin Up or Down - May 5, 8:15AM-8:30AM ET",81139.75
