timestamp,btc_price,yes_price,no_price,window_start
1777939200,79824.98,0.395,0.605,1777939200
1777939260,79856.28,0.415,0.585,1777939200
1777939320,79908.29,0.535,0.465,1777939200
1777939380,79929.3,0.75,0.255,1777939200
1777939440,79981.91,0.805,0.195,1777939200
1777939500,79999.41,0.905,0.095,1777939200
1777939560,79966.45,0.945,0.055,1777939200
1777939620,79978.5,0.905,0.095,1777939200
1777939680,79957.5,0.945,0.055,1777939200
1777939740,79926.2,0.945,0.055,1777939200
1777939800,79966.99,0.905,0.095,1777939200
1777939860,79984.99,0.975,0.025,1777939200
1777939920,79940.0,0.995,0.005,1777939200
1777939980,79950.0,0.985,0.015,1777939200
1777940040,79954.0,0.9985,0.0015,1777939200
1777940100,79933.0,0.495,0.505,1777940100
1777940160,79931.52,0.415,0.585,1777940100
1777940220,79923.13,0.325,0.675,1777940100
1777940280,79924.03,0.365,0.635,1777940100
1777940340,79966.74,0.365,0.635,1777940100
1777940400,79940.0,0.515,0.485,1777940100
1777940460,79940.0,0.405,0.595,1777940100
1777940520,79912.0,0.405,0.595,1777940100
1777940580,79904.75,0.235,0.765,1777940100
1777940640,79876.99,0.145,0.83,1777940100
1777940700,79904.31,0.125,0.875,1777940100
1777940760,79896.23,0.145,0.84,1777940100
1777940820,79875.01,0.075,0.925,1777940100
1777940880,79860.22,0.025,0.975,1777940100
1777940940,79852.51,0.005,0.995,1777940100
1777941000,79898.7,0.545,0.455,1777941000
1777941060,79947.54,0.695,0.305,1777941000
1777941120,79967.22,0.835,0.165,1777941000
1777941180,80055.5,0.895,0.105,1777941000
1777941240,80084.33,0.965,0.035,1777941000
1777941300,80080.0,0.985,0.015,1777941000
1777941360,80050.11,0.9895,0.0105,1777941000
1777941420,80024.63,0.9895,0.0105,1777941000
1777941480,80041.51,0.9895,0.0105,1777941000
1777941540,80056.27,0.9885,0.0115,1777941000
1777941600,80042.54,0.9965,0.0035,1777941000
1777941660,80013.51,0.9965,0.0035,1777941000
1777941720,80022.66,0.9965,0.0035,1777941000
1777941780,80022.21,0.9975,0.0025,1777941000
1777941840,80077.38,0.9995,0.0005,1777941000
1777941900,80069.48,0.505,0.495,1777941900
1777941960,80066.01,0.465,0.535,1777941900
1777942020,80079.72,0.445,0.555,1777941900
1777942080,80055.51,0.525,0.475,1777941900
1777942140,80044.99,0.315,0.685,1777941900
1777942200,80084.65,0.345,0.655,1777941900
1777942260,80126.9,0.565,0.435,1777941900
1777942320,80134.02,0.845,0.165,1777941900
1777942380,80174.5,0.855,0.145,1777941900
1777942440,80152.01,0.935,0.065,1777941900
1777942500,80125.07,0.925,0.075,1777941900
1777942560,80115.78,0.885,0.115,1777941900
1777942620,80150.01,0.925,0.085,1777941900
1777942680,80150.7,0.985,0.015,1777941900
1777942740,80163.99,0.995,0.005,1777941900
1777942800,80115.06,0.505,0.495,1777942800
1777942860,80104.49,0.285,0.715,1777942800
1777942920,80104.57,0.225,0.775,1777942800
1777942980,80091.85,0.245,0.765,1777942800
1777943040,80114.0,0.175,0.825,1777942800
1777943100,80158.46,0.295,0.705,1777942800
1777943160,80167.45,0.445,0.555,1777942800
1777943220,80153.49,0.495,0.505,1777942800
1777943280,80178.02,0.455,0.545,1777942800
1777943340,80201.74,0.595,0.405,1777942800
1777943400,80248.0,0.735,0.265,1777942800
1777943460,80232.88,0.945,0.055,1777942800
1777943520,80233.99,0.925,0.075,1777942800
1777943580,80216.78,0.995,0.005,1777942800
1777943640,80189.03,0.995,0.005,1777942800
1777943700,80229.61,0.435,0.555,1777943700
1777943760,80243.32,0.635,0.365,1777943700
1777943820,80215.29,0.695,0.305,1777943700
1777943880,80207.85,0.535,0.465,1777943700
1777943940,80209.1,0.565,0.435,1777943700
1777944000,80214.43,0.565,0.435,1777943700
1777944060,80233.65,0.545,0.455,1777943700
1777944120,80217.33,0.725,0.275,1777943700
1777944180,80270.94,0.635,0.365,1777943700
1777944240,80252.88,0.865,0.135,1777943700
1777944300,80237.51,0.885,0.115,1777943700
1777944360,80259.99,0.845,0.155,1777943700
1777944420,80241.0,0.965,0.035,1777943700
1777944480,80259.68,0.945,0.055,1777943700
1777944540,80258.0,0.995,0.005,1777943700
1777944600,80248.0,0.43,0.58,1777944600
1777944660,80219.99,0.445,0.555,1777944600
1777944720,80181.5,0.315,0.685,1777944600
1777944780,80206.64,0.155,0.845,1777944600
1777944840,80199.01,0.235,0.765,1777944600
1777944900,80245.19,0.205,0.795,1777944600
1777944960,80275.83,0.415,0.565,1777944600
1777945020,80292.02,0.635,0.345,1777944600
1777945080,80251.04,0.7,0.27,1777944600
1777945140,80248.0,0.465,0.535,1777944600
1777945200,80258.0,0.395,0.605,1777944600
1777945260,80250.5,0.465,0.535,1777944600
1777945320,80254.99,0.365,0.695,1777944600
1777945380,80278.78,0.455,0.545,1777944600
1777945440,80236.39,0.795,0.195,1777944600
1777945500,80274.52,,,1777945500
1777945560,80280.98,0.595,0.395,1777945500
1777945620,80339.01,0.67,0.33,1777945500
1777945680,80325.02,0.855,0.145,1777945500
1777945740,80336.46,0.805,0.195,1777945500
1777945800,80349.13,0.865,0.135,1777945500
1777945860,80377.5,0.935,0.065,1777945500
1777945920,80356.49,0.955,0.045,1777945500
1777945980,80376.51,0.965,0.035,1777945500
1777946040,80333.49,0.975,0.025,1777945500
1777946100,80310.99,0.965,0.035,1777945500
1777946160,80328.49,0.975,0.025,1777945500
1777946220,80338.71,0.9905,0.0095,1777945500
1777946280,80332.42,0.9965,0.0035,1777945500
1777946340,80345.99,0.9985,0.0015,1777945500
1777946400,80309.03,0.415,0.585,1777946400
1777946460,80331.99,0.315,0.685,1777946400
1777946520,80376.0,0.455,0.545,1777946400
1777946580,80394.77,0.595,0.405,1777946400
1777946640,80486.0,0.865,0.135,1777946400
1777946700,80487.5,0.905,0.095,1777946400
1777946760,80461.17,0.925,0.075,1777946400
1777946820,80434.19,0.915,0.085,1777946400
1777946880,80426.83,0.895,0.105,1777946400
1777946940,80441.5,0.915,0.085,1777946400
1777947000,80420.16,0.895,0.105,1777946400
1777947060,80403.95,0.955,0.045,1777946400
1777947120,80400.85,0.955,0.045,1777946400
1777947180,80391.5,0.975,0.03,1777946400
1777947240,80447.14,0.995,0.005,1777946400
1777947300,80436.99,0.415,0.585,1777947300
1777947360,80441.71,0.425,0.575,1777947300
1777947420,80433.5,0.445,0.555,1777947300
1777947480,80416.7,0.385,0.615,1777947300
1777947540,80398.51,0.315,0.685,1777947300
1777947600,80388.0,0.215,0.785,1777947300
1777947660,80379.01,0.185,0.815,1777947300
1777947720,80402.0,0.105,0.895,1777947300
1777947780,80414.56,0.205,0.795,1777947300
1777947840,80482.49,0.165,0.835,1777947300
