time,prediction,actual,result,bet,pnl,balance
2026-05-26 04:05,DOWN,DOWN,WIN,50.0,45.0,1045.0
2026-05-26 04:10,DOWN,DOWN,WIN,50.0,45.0,1090.0
2026-05-26 05:05,DOWN,DOWN,WIN,50.0,45.0,1135.0
2026-05-26 05:10,DOWN,DOWN,WIN,50.0,45.0,1180.0
2026-05-26 09:05,DOWN,DOWN,WIN,50.0,45.0,1225.0
2026-05-26 09:10,DOWN,DOWN,WIN,50.0,45.0,1270.0
2026-05-26 12:05,UP,DOWN,LOSS,50.0,-50.0,1220.0
2026-05-26 12:10,UP,DOWN,LOSS,50.0,-50.0,1170.0
2026-05-26 13:05,UP,DOWN,LOSS,50.0,-50.0,1120.0
2026-05-26 13:10,UP,DOWN,LOSS,50.0,-50.0,1070.0
2026-05-26 13:15,UP,DOWN,LOSS,50.0,-50.0,1020.0
2026-05-26 17:05,DOWN,DOWN,WIN,50.0,45.0,1065.0
2026-05-26 17:10,DOWN,DOWN,WIN,50.0,45.0,1110.0
2026-05-26 17:15,DOWN,DOWN,WIN,50.0,45.0,1155.0
2026-05-26 20:05,DOWN,DOWN,WIN,50.0,45.0,1200.0
2026-05-26 20:10,DOWN,DOWN,WIN,50.0,45.0,1245.0
2026-05-26 20:15,DOWN,DOWN,WIN,50.0,45.0,1290.0
2026-05-26 21:05,DOWN,DOWN,WIN,50.0,45.0,1335.0
2026-05-26 21:10,DOWN,DOWN,WIN,50.0,45.0,1380.0
2026-05-26 21:15,DOWN,DOWN,WIN,50.0,45.0,1425.0
2026-05-27 00:05,DOWN,DOWN,WIN,50.0,45.0,1470.0
2026-05-27 00:10,DOWN,DOWN,WIN,50.0,45.0,1515.0
2026-05-27 00:15,DOWN,DOWN,WIN,50.0,45.0,1560.0
2026-05-27 06:05,DOWN,DOWN,WIN,50.0,45.0,1605.0
2026-05-27 06:10,DOWN,DOWN,WIN,50.0,45.0,1650.0
2026-05-27 09:05,UP,DOWN,LOSS,50.0,-50.0,1600.0
2026-05-27 09:10,UP,DOWN,LOSS,50.0,-50.0,1550.0
2026-05-27 09:15,UP,DOWN,LOSS,50.0,-50.0,1500.0
2026-05-27 15:05,DOWN,DOWN,WIN,50.0,45.0,1545.0
2026-05-27 15:10,DOWN,DOWN,WIN,50.0,45.0,1590.0
